周边交通,商业用房平均价,开盘时间,容积率,座落,车位,设备装修,绿化率,楼盘简介,总幢数,开发商,住宅平均价,土地等级,项目名称,入住时间,联系电话,配套设施
,,,,沈阳经济技术开发区,,,,,,沈阳恒嘉置业有限公司,居住、商业（二期32层以下）,,,,,
,,,,于洪区,,,,,,沈阳市美的房地产开发有限公司,赤山路北-2地块项目-沈阳美的城四期,,,,,
,,,,苏家屯区,,,,,,沈阳华翔发展置业有限公司,华翔东北亚商贸城商业项目,,,,,
,,,,东陵区,,,,,,沈阳嘉榆房地产开发有限公司,居住、商业,,,,,
,,,,大东区,,,,,,沈阳大东方置业有限公司,东建街-2地块房地产项目（一期-1）,,,,,
,,,,铁西区,,,,,,辽宁报业世鸿置业有限公司,024.缤纷广场（保工印象）,,,,,
,,,,皇姑区,,,,,,沈阳嘉俊置业有限公司,恒大雅苑四期B区,,,,,
,,,,于洪区,,,,,,沈阳华锐置业有限公司,银河城8-1区,,,,,
,,,,沈河区,,,,,,沈阳佳和房地产开发有限公司,居住、商业（二期-1）,,,,,
,,,,浑南区,,,,,,沈阳金地华城置业有限公司,居住、商业（二期）,,,,,
,,,,和平区,,,,,,华润置地（沈阳）房地产有限公司,住宅、商业CB2012-2-1,,,,,
,,,,沈北新区,,,,,,沈阳坤博益群房地产开发有限公司,坤博园三期-2,,,,,
,,,,于洪区,,,,,,沈阳泰华林房地产开发有限公司,居住、商业（二期）,,,,,
,,,,沈河区,,,,,,沈阳银基新世纪置业有限公司,居住、商业,,,,,
,,,,浑南区,,,,,,沈阳金地华城置业有限公司,居住、商业（一期）,,,,,
,,,,和平区,,,,,,沈阳万科中山置业有限公司,居住、商业,,,,,
,,,,浑南区,,,,,,沈阳华麦实业有限公司,居住、商业（一期）,,,,,
,,,,沈阳经济技术开发区,,,,,,华润置地（沈阳）有限公司,居住商业（华润二十四城一期）,,,,,
,,,,于洪区,,,,,,沈阳明鸿地产有限公司,广厦.绿园（一期）,,,,,
,,,,皇姑区,,,,,,沈阳鹏翔房地产开发有限公司,海伦堡,,,,,
,,,,东陵区,,,,,,沈阳亿丰置业发展有限公司,亿丰时代广场三期,,,,,
,,,,东陵区,,,,,,沈阳华荣置业有限公司,居住、商业,,,,,
,,,,于洪区,,,,,,恒盛阳光鑫地（辽宁）置业有限公司,居住区（四期-1.1）,,,,,
,,1990-01-01 00:00:00.0,,沈阳市浑南新区E20号地块,,,,,,沈阳正大世纪房地产开发有限公司,“正大江南水乡”住宅小区一期,,21,2009-05-31 00:00:00.0,,
,,1990-01-01 00:00:00.0,,沈阳市于洪区汪家地区,,,,,,沈阳永来房地产有限公司,住宅、网点（滨河新区一期A区、L区、M区及J区部分）,,,,,
,,2008-04-10 15:58:32.0,,沈阳浑南新区E33号-2地块,,,,,,沈阳中北通磁科技有限公司,新厂区,0,3,,,
,,2007-01-31 10:32:00.0,,和平区长白地区下夹河村,,,,,,辽宁长安房地产开发有限公司,安泰小区,0,,2007-05-31 00:00:00.0,,
,,2007-01-31 00:00:00.0,,和平区南三好街西侧,,,,,5200.0,新世界(沈阳)房地产开发有限公司,新世界花园湾景华庭,0,15,2008-06-30 00:00:00.0,23605888,
,,1990-01-01 00:00:00.0,,浑南新区B47号-1地块,,,,,4500.0,沈阳万科浑南房地产开发有限公司,沈阳万科新榆公馆,,20,2009-05-30 00:00:00.0,88603355,
,,1990-01-01 00:00:00.0,,中心区42号-2地块,,,,,,沈阳博隆置业有限公司,金海园,,,,,
,,2004-05-08 00:00:00.0,,铁西区勋业五路18号,,,,,,沈阳浅草绿阁房屋开发有限公司,浅草绿阁.郦水枫林,,,2004-10-28 00:00:00.0,,
,7000.0,2003-04-05 00:00:00.0,,东陵区浑河北岸天坛地区,,,,,5000.0,沈阳银基发展股份有限公司,住宅及办公楼(东方威尼斯),0,25,2005-12-30 00:00:00.0,31699999,
,5325.0,2003-04-20 00:00:00.0,,沈阳市皇姑区北陵大街二里,,,,,4500.0,辽宁万众房屋开发有限责任公司,万众家园住宅、写字楼,0,5,2006-01-08 00:00:00.0,62230999,
,4200.0,2003-07-08 00:00:00.0,,铁西区兴华北街,,,,,3200.0,沈阳金路房屋开发有限公司,雍添金园,,11,2003-12-30 00:00:00.0,13386897846，25609818,
,12000.0,2003-12-31 00:00:00.0,,沈河区文化路81号,,,,,5400.0,辽宁一方地产有限公司,盛华苑,,8,2005-12-31 00:00:00.0,"31006666,31007777",
,4800.0,2004-01-28 00:00:00.0,,兴工南街,,,,,2800.0,沈阳宇通房产开发有限公司,世纪明珠家园,,3,2005-01-31 00:00:00.0,25615500,
,4800.0,2004-02-18 00:00:00.0,,小南街,,,,,3400.0,辽宁宝兴房地产开发有限公司,城市印象,,2,2005-11-01 00:00:00.0,24141910,
,,2004-03-01 00:00:00.0,,铁西区重工南街13路,,,,,2500.0,辽宁世代房地产开发有限公司,尊龙苑．四季阳光,,19,2004-12-30 00:00:00.0,"25751555,25761666",
,3500.0,2004-07-18 00:00:00.0,,沈阳市于洪区太湖街1号,,,,,2550.0,辽宁金厦房屋开发有限公司,雁翔居,,8,2005-05-30 00:00:00.0,25375666,
,3800.0,2004-08-01 00:00:00.0,,于洪区沈新路北,,,,,2398.0,三隆房产开发有限公司,三隆世纪新城,,23,2004-11-30 00:00:00.0,"62245555,62246666",
,7750.0,2004-08-01 00:00:00.0,,和平区胜利南街,,,,,3630.0,沈阳政崴房屋开发有限公司,嘉禾花园,,7,2005-11-05 00:00:00.0,23383333,
,4500.0,2004-08-08 00:00:00.0,,皇姑区崇山中路43号,,,,,3800.0,沈阳山河房屋开发有限公司,住宅、写字楼,,1,2005-09-30 00:00:00.0,62204888,
,5500.0,2004-08-15 00:00:00.0,,铁西区爱工北街21号,,,,,3200.0,沈阳万丰房产开发有限公司,万丰花苑,,8,2005-01-30 00:00:00.0,25862299,
,,2004-12-09 00:00:00.0,,沈河区北站路146号,,,,,,沈阳和鑫房地产开发有限公司,嘉兴国际大厦,,1,2005-10-30 00:00:00.0,62570555,
,,2004-12-12 00:00:00.0,,沈河区北站一路41号,,,,,8500.0,辽宁太平洋实业有限公司,锦兆园国际金融大厦,,1,2005-12-31 00:00:00.0,22506688,
,11000.0,2004-12-30 00:00:00.0,,昆山中路,,,,,5500.0,辽宁万和阁置业有限公司,万和阁?精致的家,,2,2005-12-31 00:00:00.0,86239308,
,5500.0,2004-12-31 00:00:00.0,,大东区南卡门路65号,,,,,2780.0,沈阳众邦房屋开发有限公司,和惠家园,,10,2004-12-31 00:00:00.0,88323777,
,3980.0,2005-01-01 00:00:00.0,,大东区小河沿路5甲号,,,,,2900.0,沈阳金席房屋开发有限公司,郦都花园,,17,2005-10-30 00:00:00.0,24201888,
,4500.0,2005-01-04 00:00:00.0,,沈阳市铁西区路官二街15号,,,,,2800.0,沈阳金通房地产开发有限公司,“圆梦园”小区,,6,2005-10-18 00:00:00.0,25965555、25969999,
